Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-106.299995,1.000000,0.000000,0.999440,0.000000,0.000000
2.000000,0.000000,-103.049995,1.000000,0.000000,0.999090,0.000000,0.000000
3.000000,0.000000,-101.533325,1.000000,0.000000,0.998580,0.000000,319.298523
4.000000,0.000000,-102.474991,1.000000,0.000000,0.998210,0.000000,354.065613
5.000000,0.000000,-101.919998,1.000000,0.000000,0.997280,0.000000,330.931946
6.000000,0.000000,-102.533325,1.000000,0.000000,0.996910,0.000000,312.196686
7.000000,0.000000,-103.485710,1.000000,0.000000,0.996360,-0.194381,308.741638
8.000000,0.000000,-103.687492,1.000000,0.000000,0.995820,-0.194381,309.321320
9.000000,0.000000,-103.744438,1.000000,0.000000,0.995460,-0.194381,315.157013
10.000000,0.000000,-103.089989,1.000000,0.000000,0.994940,-0.194381,316.502563
11.000000,0.000000,-103.572723,1.000000,0.000000,0.993710,0.483996,298.634216
12.000000,0.000000,-103.491661,1.000000,0.000000,0.993370,0.483996,285.105530
13.000000,0.000000,-103.523071,1.000000,0.000000,0.993130,0.483996,298.562714
14.000000,0.000000,-104.857132,1.000000,0.000000,0.991390,0.614544,300.810455
15.000000,0.000000,-104.773323,1.000000,0.000000,0.990370,0.614544,256.288452
16.000000,0.000000,-104.724991,1.000000,0.000000,0.989870,0.614544,270.446960
17.000000,0.000000,-104.752930,1.000000,0.000000,0.989490,0.441309,285.925354
18.000000,0.000000,-104.372215,1.000000,0.000000,0.989100,0.441309,297.086975
19.000000,0.000000,-104.015778,1.000000,0.000000,0.988590,0.352614,283.185303
20.000000,0.000000,-104.419998,1.000000,0.000000,0.987790,0.352614,269.134186
21.000000,0.000000,-104.490463,1.000000,0.000000,0.987300,0.190706,270.648041
22.000000,0.000000,-104.072723,1.000000,0.000000,0.986230,0.190706,282.289185
23.000000,0.000000,-103.834778,1.000000,0.000000,0.985970,0.155458,273.011993
24.000000,0.000000,-103.783333,1.000000,0.000000,0.985000,0.224326,249.773682
25.000000,0.000000,-104.184006,1.000000,0.000000,0.983140,0.098206,235.071152
26.000000,0.000000,-103.973076,1.000000,0.000000,0.982710,0.074624,241.065826
27.000000,0.000000,-103.718521,1.000000,0.000000,0.982120,0.047954,248.898254
28.000000,0.000000,-103.764290,1.000000,0.000000,0.981750,0.047954,237.742188
29.000000,0.000000,-103.662079,1.000000,0.000000,0.981710,0.030452,229.247070
30.000000,0.000000,-103.480003,1.000000,0.000000,0.981350,-0.095952,209.151993
31.000000,0.000000,-103.225815,1.000000,0.000000,0.980550,-0.097909,228.799332
32.000000,0.000000,-103.050011,1.000000,0.000000,0.980040,-0.197034,249.967148
33.000000,0.000000,-102.890923,1.000000,0.000000,0.979700,-0.197034,262.031952
34.000000,0.000000,-102.991188,1.000000,0.000000,0.979190,-0.246682,252.936417
35.000000,0.000000,-102.820015,1.000000,0.000000,0.977810,-0.165747,248.988617
36.000000,0.000000,-103.066681,1.000000,0.000000,0.977060,-0.156907,235.469574
37.000000,0.000000,-102.921631,1.000000,0.000000,0.976530,-0.156907,254.142349
38.000000,0.000000,-103.092110,1.000000,0.000000,0.975880,-0.113923,255.705002
39.000000,0.000000,-102.920517,1.000000,0.000000,0.975400,-0.141458,255.608490
40.000000,0.000000,-102.927505,1.000000,0.000000,0.975150,-0.141458,235.452591
41.000000,0.000000,-102.875610,1.000000,0.000000,0.975020,-0.141458,242.331497
42.000000,0.000000,-103.602379,1.000000,0.000000,0.972750,-0.131027,240.705902
43.000000,0.000000,-103.762787,1.000000,0.000000,0.970230,-0.459986,209.704468
44.000000,0.000000,-103.647728,1.000000,0.000000,0.970010,-0.459986,224.084259
45.000000,0.000000,-104.084442,1.000000,0.000000,0.968410,-0.752151,201.037674
